PassengerId,Survived,ScaledClass,ScaledSex,AgeRecorded,ScaledFare,ScaledParch,ScaledSibSp,ScaledCabin,ScaledNumberOfCabins,ScaledEmbarked,ScaledSumFamily,OnOwn,MaleOnOwn
1,0,0.0,0.0,1.0,0.014151057562208049,0.0,0.125,0.25,0.25,0.3,0.1,1.0,1.0
2,1,1.0,1.0,1.0,0.13913573538264068,0.0,0.125,0.75,0.25,0.4,0.1,1.0,0.0
3,1,0.0,1.0,1.0,0.015468569817999833,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
4,1,1.0,1.0,1.0,0.10364429745562033,0.0,0.125,0.75,0.25,0.3,0.1,1.0,0.0
5,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.01650950209357577,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
7,0,1.0,0.0,1.0,0.10122885832000206,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
8,0,0.0,0.0,1.0,0.04113566043083236,0.16666666666666666,0.375,0.25,0.25,0.3,0.4,1.0,1.0
9,1,0.0,1.0,1.0,0.021730754366528396,0.3333333333333333,0.0,0.25,0.25,0.3,0.2,1.0,0.0
10,1,0.5,1.0,1.0,0.058694292654020104,0.0,0.125,0.5,0.25,0.4,0.1,1.0,0.0
11,1,0.0,1.0,1.0,0.03259622914329302,0.16666666666666666,0.125,0.25,0.25,0.3,0.2,1.0,0.0
12,1,1.0,1.0,1.0,0.051822148727810165,0.0,0.0,0.75,0.25,0.3,0.0,0.0,0.0
13,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
14,0,0.0,0.0,1.0,0.06104473451835265,0.8333333333333334,0.125,0.25,0.25,0.3,0.6,1.0,1.0
15,0,0.0,1.0,1.0,0.015330377421392339,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
16,1,0.5,1.0,1.0,0.03122992013728673,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
17,0,0.0,0.0,1.0,0.056848213999904744,0.16666666666666666,0.5,0.25,0.25,1.0,0.5,1.0,1.0
18,1,0.5,0.0,0.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
19,0,0.0,1.0,1.0,0.03513366015444757,0.0,0.125,0.25,0.25,0.3,0.1,1.0,0.0
20,1,0.0,1.0,0.0,0.014102260811993537,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
21,0,0.5,0.0,1.0,0.050748620223090936,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
